Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,50,-1.00E-02,-2.68E-02
2,25,50,-9.00E-03,-2.41E-02
2,25,50,-8.00E-03,-2.14E-02
2,25,50,-7.00E-03,-1.87E-02
2,25,50,-6.00E-03,-1.60E-02
2,25,50,-5.00E-03,-1.33E-02
2,25,50,-4.00E-03,-1.07E-02
2,25,50,-3.00E-03,-7.98E-03
2,25,50,-2.00E-03,-5.30E-03
2,25,50,-1.00E-03,-2.62E-03
2,25,50,3.19E-07,6.43E-05
2,25,50,1.00E-03,2.75E-03
2,25,50,2.00E-03,5.43E-03
2,25,50,3.00E-03,8.11E-03
2,25,50,4.00E-03,1.08E-02
2,25,50,5.00E-03,1.35E-02
2,25,50,6.00E-03,1.62E-02
2,25,50,7.00E-03,1.88E-02
2,25,50,8.00E-03,2.15E-02
2,25,50,9.00E-03,2.42E-02
2,25,50,1.00E-02,2.69E-02
