Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,40,-1.00E-02,-2.11E-02
2,25,40,-9.00E-03,-1.90E-02
2,25,40,-8.00E-03,-1.69E-02
2,25,40,-7.00E-03,-1.48E-02
2,25,40,-6.00E-03,-1.27E-02
2,25,40,-5.00E-03,-1.05E-02
2,25,40,-4.00E-03,-8.41E-03
2,25,40,-3.00E-03,-6.29E-03
2,25,40,-2.00E-03,-4.17E-03
2,25,40,-1.00E-03,-2.05E-03
2,25,40,3.25E-07,6.48E-05
2,25,40,1.00E-03,2.18E-03
2,25,40,2.00E-03,4.30E-03
2,25,40,3.00E-03,6.42E-03
2,25,40,4.00E-03,8.54E-03
2,25,40,5.00E-03,1.07E-02
2,25,40,6.00E-03,1.28E-02
2,25,40,7.00E-03,1.49E-02
2,25,40,8.00E-03,1.70E-02
2,25,40,9.00E-03,1.91E-02
2,25,40,1.00E-02,2.13E-02
