x,y
0.000000000000000000e+00,3.764052345967663804e+00
5.002501250625312514e-03,2.415164712119099111e+00
1.000500250125062503e-02,3.008752991609491279e+00
1.500750375187593841e-02,4.285915710457086192e+00
2.001000500250125005e-02,3.927588005157471418e+00
2.501250625312656170e-02,1.097759638882968458e+00
3.001500750375187682e-02,3.040133440036844714e+00
3.501750875437718846e-02,1.953695317965433498e+00
4.002001000500250011e-02,2.016841178221449482e+00
4.502251125562781175e-02,2.545666035705255847e+00
5.002501250625312340e-02,2.294118608679637461e+00
5.502751375687843505e-02,3.619356048233610679e+00
6.003001500750375363e-02,2.941127770169504885e+00
6.503251625812905834e-02,2.316772565267215533e+00
7.003501750875437692e-02,2.653968285271688821e+00
7.503751875937968163e-02,2.558786883652405919e+00
8.004002001000500022e-02,3.734199133187621200e+00
8.504252126063031880e-02,2.049969300016090124e+00
9.004502251125562351e-02,2.583202769184667957e+00
9.504752376188094209e-02,1.431046831983918022e+00
1.000500250125062468e-01,-2.528397407965599086e-01
1.050525262631315654e-01,2.968776174229755149e+00
1.100550275137568701e-01,3.194601281400776482e+00
1.150575287643821887e-01,1.603007565886704899e+00
1.200600300150075073e-01,4.629934714032630794e+00
1.250625312656328258e-01,9.208219191981334983e-01
1.300650325162581167e-01,2.435953614850220106e+00
1.350675337668834353e-01,2.218018751274816402e+00
1.400700350175087538e-01,3.952989319410983526e+00
1.450725362681340724e-01,3.904576378704687212e+00
1.500750375187593633e-01,2.605172538253194503e+00
1.550775387693846818e-01,2.843395135910327554e+00
1.600800400200100004e-01,1.592454372429917386e+00
1.650825412706353190e-01,5.144511555879791587e-01
1.700850425212606376e-01,2.162342978237628888e+00
1.750875437718859284e-01,2.681611600419637753e+00
1.800900450225112470e-01,3.770560815795254150e+00
1.850925462731365656e-01,3.757657487603820901e+00
1.900950475237618842e-01,2.182958325163333324e+00
1.950975487743871750e-01,2.282989895747825848e+00
2.001000500250124936e-01,1.551747185007944951e+00
2.051025512756378122e-01,1.195289716647938372e+00
2.101050525262631308e-01,9.240449669537769140e-01
2.151075537768884494e-01,4.596098056562454737e+00
2.201100550275137402e-01,2.150677983330887777e+00
2.251125562781390588e-01,2.237263367223230492e+00
2.301150575287643774e-01,1.437549812536366822e+00
2.351175587793896959e-01,3.482843032170078956e+00
2.401200600300150145e-01,1.106462332532093473e+00
2.451225612806403054e-01,2.522627403627952347e+00
2.501250625312656517e-01,1.854908626400121330e+00
2.551275637818909425e-01,3.152285189204934834e+00
2.601300650325162334e-01,2.269585057528675343e+00
2.651325662831415797e-01,1.614765514727012796e+00
2.701350675337668705e-01,2.782222974262645643e+00
2.751375687843921614e-01,3.253744576883593975e+00
2.801400700350175077e-01,2.906937432488220452e+00
2.851425712856427985e-01,3.157899611596709732e+00
2.901450725362681449e-01,2.236113123927840896e+00
2.951475737868934357e-01,2.522701555373542348e+00
3.001500750375187265e-01,2.227989777336605304e+00
3.051525762881440729e-01,2.555904567323890930e+00
3.101550775387693637e-01,2.117318950571854153e+00
3.151575787893947100e-01,1.219190134036507001e+00
3.201600800400200009e-01,3.137906382373813141e+00
3.251625812906452917e-01,2.573706807663673768e+00
3.301650825412706380e-01,1.360296900657767205e+00
3.351675837918959289e-01,3.468285006901461909e+00
3.401700850425212752e-01,2.113211890744321586e+00
3.451725862931465660e-01,3.087463154675578636e+00
3.501750875437718569e-01,3.779615824808852054e+00
3.551775887943972032e-01,3.194515677140602250e+00
3.601800900450224940e-01,4.219940954678367717e+00
3.651825912956478404e-01,1.860721953533291062e+00
3.701850925462731312e-01,3.512896918816368341e+00
3.751875937968984220e-01,2.440752690450382012e+00
3.801900950475237684e-01,2.269773135960689636e+00
3.851925962981490592e-01,2.576728124130031716e+00
3.901950975487743500e-01,2.859032760518950500e+00
3.951975987993996964e-01,3.241758138627944597e+00
