ChipID,X_mm,Y_mm,Current_mA,OpticalOutput_mW,Voltage_V,Radius_mm,region
C0000,19.65,-7.7,20,1.34,2.107,21.10479803267494,Mid
C0001,-21.39,-10.7,20,1.921,2.098,23.916983505450684,Mid
C0002,-27.31,-46.33,40,4.294,3.067,53.78015433224416,Edge
C0003,5.13,38.4,10,1.509,1.601,38.74115253835384,Mid
C0004,21.95,17.65,20,2.049,2.102,28.16602563373114,Mid
C0005,-7.69,27.83,20,2.81,2.099,28.872911179858534,Mid
C0006,48.08,16.57,50,4.903,3.621,50.85519934087369,Edge
C0007,18.48,-15.7,50,5.421,3.598,24.248719553823868,Mid
C0008,-1.91,0.68,20,1.692,2.258,2.0274368054269902,Center
C0009,-10.79,-37.13,40,4.022,3.125,38.66601867273123,Mid
C0010,-15.68,-33.84,30,3.785,2.616,37.29621964757287,Mid
C0011,22.9,-17.59,50,5.128,3.587,28.875908643711973,Mid
C0012,-6.14,14.37,10,0.758,1.607,15.626787897709496,Center
C0013,-44.03,9.96,50,5.522,3.589,45.14246891786049,Edge
C0014,-10.2,27.53,40,5.332,3.086,29.358830017560305,Mid
C0015,23.8,3.22,20,0.335,2.096,24.0168357616069,Mid
C0016,-31.75,17.57,20,2.286,2.096,36.28728978581894,Mid
C0017,-32.45,-45.61,50,4.09,3.615,55.975660782164965,Edge
C0018,3.16,43.33,10,,1.592,43.44507451944351,Edge
C0019,3.18,34.62,20,,2.119,34.7657417582309,Mid
C0020,13.44,43.66,40,5.144,3.091,45.68182570782389,Edge
C0021,34.94,-32.64,30,,2.584,47.81394357297879,Edge
C0022,22.45,-35.4,30,2.301,2.587,41.91852215906472,Edge
C0023,11.1,4.02,10,2.091,1.557,11.80552413067713,Center
C0024,22.24,33.87,10,-0.778,1.582,40.51906341464472,Edge
C0025,-17.7,23.84,10,2.53,1.624,29.692349182912423,Mid
C0026,-13.82,-24.14,40,3.25,3.091,27.81603853894368,Mid
C0027,-27.17,-2.48,30,3.072,2.635,27.2829488875378,Mid
C0028,-20.63,-26.46,50,5.741,3.602,33.55187774178965,Mid
C0029,13.1,6.42,30,3.736,2.595,14.58857086900564,Center
C0030,-40.79,6.75,30,4.565,2.599,41.34472880549587,Edge
C0031,-6.63,-41.69,10,-0.069,1.58,42.213895816425186,Edge
C0032,-6.91,13.28,30,1.662,2.609,14.970187039579699,Center
C0033,-0.63,-40.3,10,2.578,1.552,40.30492401679973,Edge
C0034,-7.42,-47.21,50,4.7,3.637,47.78954383544585,Edge
C0035,-18.77,35.51,10,0.783,1.599,40.16556983288049,Edge
C0036,-7.36,-25.16,50,5.755,3.578,26.214408251951827,Mid
C0037,39.34,-3.49,40,3.832,3.105,39.49450214903336,Mid
C0038,44.42,43.8,20,2.713,2.409,62.38250075141265,Edge
C0039,0.18,12.54,10,0.039,1.602,12.541291799491788,Center
C0040,12.4,-12.74,50,4.264,3.592,17.778290131505898,Center
C0041,-38.44,35.18,50,4.375,3.608,52.10821432365534,Edge
C0042,-18.27,-28.54,50,5.024,3.604,33.886937011184706,Mid
C0043,-8.52,-1.17,50,3.74,3.594,8.599959302229284,Center
C0044,36.63,6.57,40,3.722,3.128,37.21453748201098,Mid
C0045,-24.95,8.58,30,2.531,2.581,26.384065266747655,Mid
C0046,-1.7,-48.25,10,0.25,1.592,48.27993889805578,Edge
C0047,48.56,-12.3,30,3.225,2.671,50.093548486806164,Edge
C0048,1.95,1.49,20,1.521,2.236,2.4540986125255846,Center
C0049,11.29,-4.22,30,,2.589,12.05290421433772,Center
C0050,-37.94,32.19,10,0.365,1.58,49.75580066685692,Edge
C0051,32.63,22.29,50,5.03,3.597,39.51659145219891,Mid
C0052,10.31,43.22,20,2.476,2.1,44.43269629450817,Edge
C0053,4.51,-27.62,20,1.608,2.098,27.985791037596204,Mid
C0054,-15.72,-34.38,10,0.478,1.585,37.80347603065094,Mid
C0055,-19.59,-29.68,40,3.062,3.085,35.56220606205414,Mid
C0056,-8.3,15.64,30,4.248,2.58,17.705919913972277,Center
C0057,18.13,-24.83,20,1.899,2.099,30.744524715792892,Mid
C0058,37.55,16.46,30,2.543,2.608,40.99919633358683,Edge
C0059,1.04,18.34,50,5.545,3.571,18.3694637918476,Center
C0060,16.93,-41.87,20,2.601,2.394,45.16327933177572,Edge
C0061,8.59,24.0,40,3.751,3.068,25.490941528315503,Mid
C0062,12.49,-18.6,50,5.968,3.621,22.404466072638286,Mid
C0063,17.47,-27.89,10,0.152,1.554,32.90977058564827,Mid
C0064,34.23,-24.12,40,3.552,3.097,41.874422981099094,Edge
C0065,-41.68,39.63,50,5.138,3.592,57.51312285035477,Edge
C0066,26.37,10.51,50,,3.58,28.387268272942364,Mid
C0067,-25.63,14.97,50,5.833,3.627,29.681607099346895,Mid
C0068,-30.58,-28.29,50,4.867,3.574,41.65885860174279,Edge
C0069,7.25,-14.0,20,1.325,2.259,15.765865025427562,Center
C0070,-40.43,31.05,20,1.958,2.395,50.977322409086966,Edge
C0071,38.53,-15.98,30,2.129,2.631,41.712363874515674,Edge
C0072,12.72,31.27,50,5.126,3.591,33.75812939130366,Mid
C0073,22.34,-30.0,20,1.461,2.109,37.404219013368,Mid
C0074,-48.39,23.24,50,5.575,3.61,53.681372001840636,Edge
C0075,9.44,-38.32,50,3.858,3.626,39.46563061703183,Mid
C0076,5.68,32.24,10,-0.752,1.586,32.736523944976206,Mid
C0077,-34.1,17.27,30,2.757,2.599,38.22385250076188,Mid
C0078,-34.69,45.73,50,6.124,3.606,57.39885887367448,Edge
C0079,19.55,-47.05,30,3.163,2.585,50.950024533850815,Edge
C0080,-18.12,-36.81,30,3.471,2.629,41.02816715379814,Edge
C0081,19.2,-47.27,30,3.073,2.593,51.02051450152184,Edge
C0082,5.44,-48.32,30,2.437,2.616,48.6252609247498,Edge
C0083,-11.1,34.61,20,2.264,2.1,36.34641798031823,Mid
C0084,42.51,13.14,30,3.035,2.574,44.49449067019421,Edge
C0085,34.17,14.38,10,0.813,1.598,37.07254105129564,Mid
C0086,-14.26,-12.39,20,0.544,2.233,18.890730531136164,Center
C0087,-45.64,-44.67,50,4.857,3.602,63.86249681933834,Edge
C0088,-19.52,-6.88,30,2.729,2.598,20.696975624472287,Mid
C0089,-10.18,-34.26,10,1.502,1.615,35.74045327076868,Mid
C0090,20.5,43.46,10,0.357,1.587,48.052279862666246,Edge
C0091,49.54,37.85,10,1.467,1.617,62.344479306511175,Edge
C0092,-14.41,-19.91,50,4.43,3.588,24.577554801078158,Mid
C0093,26.25,-48.27,30,,2.602,54.94593160553382,Edge
C0094,9.32,-47.91,50,4.508,3.598,48.80809871322586,Edge
C0095,19.17,2.88,30,1.345,2.592,19.385130899738595,Center
C0096,-34.89,32.32,40,5.087,3.11,47.55937867550416,Edge
C0097,-10.11,-15.77,40,4.91,3.114,18.732458461184425,Center
C0098,-25.91,15.74,50,4.205,3.628,30.31626131303133,Mid
C0099,-15.65,35.8,50,5.384,3.572,39.07124902021946,Mid
C0100,1.31,13.62,30,,2.657,13.68285423440592,Center
C0101,16.66,-49.39,20,2.076,2.386,52.12415658790078,Edge
C0102,-39.41,5.11,30,4.654,2.606,39.73990689470724,Mid
C0103,-36.91,-32.52,50,4.617,3.613,49.19246385372459,Edge
C0104,-17.8,30.01,30,2.146,2.611,34.891834288268655,Mid
C0105,16.16,-8.76,30,3.692,2.63,18.381599495147313,Center
C0106,34.65,-6.08,40,4.295,3.092,35.179381745562274,Mid
C0107,5.33,-19.61,30,,2.567,20.321441877977065,Mid
C0108,35.45,-27.04,20,0.556,2.083,44.585469606139625,Edge
C0109,-11.52,-34.0,20,1.204,2.097,35.89861278656878,Mid
C0110,-18.32,-9.23,30,3.012,2.611,20.513783171321666,Mid
C0111,-14.57,3.76,10,-0.264,1.589,15.047341957967195,Center
C0112,-32.89,40.09,20,1.732,2.401,51.8551848902306,Edge
C0113,32.91,-9.81,20,1.525,2.114,34.34099882065168,Mid
C0114,-16.13,-17.82,20,2.0,2.106,24.03600008320852,Mid
C0115,5.24,31.82,30,3.525,2.638,32.248565859585135,Mid
C0116,7.86,19.62,40,3.183,3.113,21.13584632798034,Mid
C0117,2.15,-38.52,20,2.759,2.087,38.57995463968303,Mid
C0118,-49.73,20.73,50,4.437,3.572,53.87769297213829,Edge
C0119,48.83,45.12,30,4.177,2.591,66.4844590863158,Edge
C0120,40.53,-0.28,50,5.313,3.612,40.53096717326149,Edge
C0121,-29.24,-0.94,20,2.128,2.092,29.255105537324592,Mid
C0122,-20.75,22.36,50,5.808,3.575,30.504624239613243,Mid
C0123,2.0,-30.01,20,1.75,2.119,30.07657061568024,Mid
C0124,40.19,-13.3,10,1.612,1.583,42.333510367083896,Edge
C0125,48.36,-18.31,30,2.543,2.648,51.71020885666582,Edge
C0126,-24.25,49.59,50,6.113,3.613,55.20172642227777,Edge
C0127,6.44,-33.84,30,2.598,2.604,34.447339519910685,Mid
C0128,30.7,-32.6,10,0.409,1.59,44.78001786511479,Edge
C0129,-10.56,-3.91,50,5.543,3.578,11.260626092717937,Center
C0130,23.11,-22.57,30,2.536,2.6,32.30289460714008,Mid
C0131,-33.89,37.07,30,3.715,2.593,50.22665626935562,Edge
C0132,10.07,-6.35,30,3.177,2.6,11.904931751169345,Center
C0133,36.59,18.49,40,3.986,3.119,40.99644130897217,Edge
C0134,48.35,31.82,10,0.301,1.596,57.88121370531202,Edge
C0135,-42.06,-22.8,20,2.0,2.387,47.84227837384002,Edge
C0136,-7.17,23.27,30,2.73,2.595,24.349574944955403,Mid
C0137,-29.55,-10.09,20,,2.096,31.225159727373693,Mid
C0138,-4.94,-24.55,50,,3.565,25.042086574405097,Mid
C0139,4.78,39.01,20,,2.092,39.3017620470126,Mid
C0140,-40.67,6.5,30,3.059,2.626,41.18614937087467,Edge
C0141,-20.31,-0.37,50,4.749,3.604,20.313369981369412,Mid
C0142,42.76,-31.94,30,3.222,2.622,53.37210132644207,Edge
C0143,6.9,40.16,50,3.951,3.587,40.74844291503664,Edge
C0144,-4.26,13.78,40,3.273,3.072,14.423453123298872,Center
C0145,25.35,44.76,30,2.144,2.596,51.44006318036555,Edge
C0146,24.19,-45.57,20,1.818,2.416,51.592450998183836,Edge
C0147,-45.14,-38.34,50,4.584,3.573,59.224785352080424,Edge
C0148,20.87,37.74,20,2.001,2.101,43.12614636157513,Edge
C0149,33.92,-4.82,30,2.453,2.638,34.26074721893847,Mid
C0150,-33.41,-3.3,20,0.908,2.112,33.57257958513167,Mid
C0151,28.1,-27.67,30,3.268,2.588,39.43651734116491,Mid
C0152,-21.35,-1.16,10,1.144,1.604,21.38148965811316,Mid
C0153,-19.35,-6.15,10,0.79,1.61,20.303817375065215,Mid
C0154,16.53,22.09,40,4.594,3.146,27.59001631025252,Mid
C0155,-38.86,13.55,10,1.075,1.614,41.154612135215174,Edge
