Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,45,-1.00E-02,-2.43E-02
2,25,45,-9.00E-03,-2.19E-02
2,25,45,-8.00E-03,-1.94E-02
2,25,45,-7.00E-03,-1.70E-02
2,25,45,-6.00E-03,-1.45E-02
2,25,45,-5.00E-03,-1.21E-02
2,25,45,-4.00E-03,-9.68E-03
2,25,45,-3.00E-03,-7.24E-03
2,25,45,-2.00E-03,-4.80E-03
2,25,45,-1.00E-03,-2.37E-03
2,25,45,3.25E-07,6.47E-05
2,25,45,1.00E-03,2.50E-03
2,25,45,2.00E-03,4.93E-03
2,25,45,3.00E-03,7.37E-03
2,25,45,4.00E-03,9.80E-03
2,25,45,5.00E-03,1.22E-02
2,25,45,6.00E-03,1.47E-02
2,25,45,7.00E-03,1.71E-02
2,25,45,8.00E-03,1.95E-02
2,25,45,9.00E-03,2.20E-02
2,25,45,1.00E-02,2.44E-02
