Pattern Name,Inter Circle (um),Outer Circle (um),Current (A),Voltage (V)
2,25,80,-1.00E-02,-3.59E-02
2,25,80,-9.00E-03,-3.23E-02
2,25,80,-8.00E-03,-2.87E-02
2,25,80,-7.00E-03,-2.51E-02
2,25,80,-6.00E-03,-2.15E-02
2,25,80,-5.00E-03,-1.79E-02
2,25,80,-4.00E-03,-1.43E-02
2,25,80,-3.00E-03,-1.07E-02
2,25,80,-2.00E-03,-7.12E-03
2,25,80,-1.00E-03,-3.53E-03
2,25,80,3.18E-07,6.44E-05
2,25,80,1.00E-03,3.66E-03
2,25,80,2.00E-03,7.25E-03
2,25,80,3.00E-03,1.08E-02
2,25,80,4.00E-03,1.44E-02
2,25,80,5.00E-03,1.80E-02
2,25,80,6.00E-03,2.16E-02
2,25,80,7.00E-03,2.52E-02
2,25,80,8.00E-03,2.88E-02
2,25,80,9.00E-03,3.24E-02
2,25,80,1.00E-02,3.60E-02
